Exp															
1							576	384	576						
2						576	384	192	384	576					
3					576	384	192	96	192	384	576				
4				576	384	192	96	48	96	192	384	576			
5			576	384	192	96	48	24	48	96	192	384	576		
6		576	384	192	96	48	24	12	24	48	96	192	384	576	
7	576	384	192	96	48	24	12	6	12	24	48	96	192	384	576
8						384	192	96	192	384					
9							384	192	384						
10								384							
11							576	384 25%dropout	576						
12						576	384	192 25%dropout	384	576					
13					576	384	192	96 25%dropout	192	384	576				
14				576	384	192	96	48 25%dropout	96	192	384	576			
15			576	384	192	96	48	24 25%dropout	48	96	192	384	576		
16		576	384	192	96	48	24	12 25%dropout	24	48	96	192	384	576	
17	576	384	192	96	48	24	12	6 25%dropout	12	24	48	96	192	384	576
18						384	192	96 25%dropout	192	384					
19							384	192 25%dropout	384						
20								384 25%dropout							
